% Magnetic field reconstruction point table
% Method: Gaussian RBF
% Grid size: 100 x 100 (rows=y, columns=x)
% Length unit: mm
% Magnetic field unit: T
% z plane: -20 mm
% Data order: y-major rows, x increasing within each row
% Columns use tab separators
% x(mm)	y(mm)	z(mm)	Bx(T)	By(T)	Bz(T)
9	-95	-20	-0.000404260050322	-0.000624987549773	-0.000640632471313
11	-95	-20	-0.000415802563321	-0.000581563284444	-0.000639708611187
13	-95	-20	-0.000428544044779	-0.00053827068838	-0.000640859319695
15	-95	-20	-0.000442402239791	-0.00049620049291	-0.000644486147638
17	-95	-20	-0.000457294146511	-0.000456071534527	-0.000651002768349
19	-95	-20	-0.000473127224454	-0.000418247535203	-0.000660814814342
21	-95	-20	-0.000489787400734	-0.000382785610596	-0.000674294863311
23	-95	-20	-0.000507125108832	-0.000349510515554	-0.000691754223494
25	-95	-20	-0.000524940892762	-0.000318106681831	-0.000713413583857
27	-95	-20	-0.000542972288372	-0.000288218843505	-0.000739374857484
29	-95	-20	-0.00056088373193	-0.00025955156443	-0.000769596628325
31	-95	-20	-0.000578261132959	-0.00023195830032	-0.000803875496818
33	-95	-20	-0.000594612483337	-0.000205511704465	-0.000841835309452
35	-95	-20	-0.000609375470119	-0.000180548621638	-0.00088292576792
37	-95	-20	-0.000621932539357	-0.00015768546104	-0.000926431278071
39	-95	-20	-0.000631633257577	-0.000137802210507	-0.00097149016422
41	-95	-20	-0.000637823180977	-0.000121996042015	-0.0010171235978
43	-95	-20	-0.000639877820486	-0.000111508047449	-0.00106227283407
45	-95	-20	-0.000637239736754	-0.000107628928011	-0.0011058426803
47	-95	-20	-0.000629456364442	-0.00011159126039	-0.0011467485916
49	-95	-20	-0.000616215894447	-0.000124457137308	-0.00118396445421
51	-95	-20	-0.000597378469965	-0.0001470104391	-0.0012165680021
53	-95	-20	-0.000573000096279	-0.000179662704021	-0.00124378093449
55	-95	-20	-0.000543347025998	-0.000222380555718	-0.00126500115167
57	-95	-20	-0.000508898943362	-0.000274641002626	-0.00127982507775
59	-95	-20	-0.000470339996529	-0.000335418782836	-0.00128805874514
61	-95	-20	-0.000428537562899	-0.000403207466055	-0.00128971711997
63	-95	-20	-0.000384509514466	-0.000476073443406	-0.00128501198231
65	-95	-20	-0.000339381606331	-0.000551739445762	-0.0012743294724
67	-95	-20	-0.000294337370135	-0.000627692031948	-0.00125819911015
69	-95	-20	-0.000250563489632	-0.00070130575236	-0.0012372566357
71	-95	-20	-0.000209194015627	-0.000769975552726	-0.00121220336606
73	-95	-20	-0.000171256907079	-0.000831248515683	-0.00118376489414
75	-95	-20	-0.00013762625145	-0.000882946264936	-0.00115265187096
77	-95	-20	-0.000108983129942	-0.000923270239333	-0.00111952532443
79	-95	-20	-8.57874841382e-05	-0.000950883489267	-0.00108496851156
81	-95	-20	-6.82625607352e-05	-0.000964964518035	-0.00104946671921
83	-95	-20	-5.63926257162e-05	-0.000965230818158	-0.00101339577364
85	-95	-20	-4.99337218451e-05	-0.000951931954646	-0.000977019346378
87	-95	-20	-4.84363680456e-05	-0.000925814143779	-0.000940494506684
89	-95	-20	-5.1278334779e-05	-0.000888060105725	-0.000903884415198
91	-95	-20	-5.77050327414e-05	-0.00084020940302	-0.000867176618218
93	-95	-20	-6.6874663308e-05	-0.000784065427172	-0.000830305111487
95	-95	-20	-7.7905118856e-05	-0.000721595622321	-0.000793174209586
97	-95	-20	-8.99196896231e-05	-0.000654831445242	-0.000755682280876
99	-95	-20	-0.000102088911939	-0.000585774005567	-0.000717743575191
-99	-93	-20	-7.94713059295e-05	0.000310317694893	-0.000302562201393
-97	-93	-20	-8.96092339956e-05	0.000320135238481	-0.000326710131778
-95	-93	-20	-9.94762772987e-05	0.000324277186026	-0.000349093157592
-93	-93	-20	-0.000108809807438	0.000321806280133	-0.000369045186023
-91	-93	-20	-0.000117357948593	0.000311940112204	-0.000385930593748
-89	-93	-20	-0.000124896492776	0.000294120274419	-0.000399180101165
-87	-93	-20	-0.000131246193377	0.000268079147043	-0.00040832751001
-85	-93	-20	-0.000136289234072	0.000233899113743	-0.000413044992947
