% Model,Multiple Magnets Simulation_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Aug 17 2026, 10:16"
% Dimension,3
% Nodes,64
% Expressions,12
% Description,"Bx, By, Bz, Gxx, Gxy, Gxz, Gyx, Gyy, Gyz, Gzx, Gzy, Gzz"
% Length unit,m
% x,y,z,mfnc.Bx (T),mfnc.By (T),mfnc.Bz (T),d(mfnc.Bx;x) (T/m),d(mfnc.Bx;y) (T/m),d(mfnc.Bx;z) (T/m),d(mfnc.By;x) (T/m),d(mfnc.By;y) (T/m),d(mfnc.By;z) (T/m),d(mfnc.Bz;x) (T/m),d(mfnc.Bz;y) (T/m),d(mfnc.Bz;z) (T/m)
-0.4285714285714286,0.4285714285714284,-0.2,-5.043604122062871E-7,1.1778220210829688E-7,1.7145516463166186E-6,-1.479131072236949E-5,1.0931041164751972E-7,-6.564795897493589E-6,1.0931041164751972E-7,-3.910887943030327E-6,7.55272819800701E-7,-6.564795897493589E-6,7.55272819800701E-7,1.8587765575502847E-5
-0.1428571428571429,0.4285714285714284,-0.2,-8.538420113043903E-8,9.340811867651581E-8,-2.578759217194155E-7,3.0352571421934117E-6,3.176506049103677E-8,4.767912827696789E-7,3.176506049103677E-8,-4.282562199302153E-7,3.193704167442632E-7,4.767912827696789E-7,3.193704167442632E-7,-2.6022465693994596E-6
0.1428571428571428,0.4285714285714284,-0.2,7.805279896158987E-7,2.476280297053988E-7,2.5546356618226254E-7,4.272334129649034E-6,1.223664901819552E-6,6.376429312498122E-6,1.223664901819552E-6,-3.028420464841332E-6,1.5406096005534168E-6,6.376429312498122E-6,1.5406096005534168E-6,-1.2471773448175641E-6
0.4285714285714284,0.4285714285714284,-0.2,-7.483170593843163E-8,2.7340192532747204E-7,8.641705195253363E-7,1.5228693970423573E-6,1.3709871370372305E-8,7.816318506372351E-7,1.3709871370372305E-8,1.7348686645585983E-6,-5.082411657894044E-7,7.816318506372351E-7,-5.082411657894044E-7,-3.0845449963257668E-6
0.7142857142857142,0.4285714285714284,-0.2,-6.424321483991627E-7,2.2956242287993644E-7,-9.576666508036577E-10,5.251882922828752E-6,-1.2690905122390892E-6,-3.610467082882572E-6,-1.2690905122390892E-6,-1.968307672251577E-6,1.4168793529316856E-6,-3.610467082882572E-6,1.4168793529316856E-6,-3.165957752754069E-6
1,0.4285714285714284,-0.2,-5.808677927965454E-8,4.7327946208315294E-8,-8.448470732041928E-8,4.369286940343018E-7,-2.3041559372776906E-7,2.8704286516598757E-7,-2.3041559372776906E-7,-6.614655018667309E-8,1.0052480906430383E-7,2.8704286516598757E-7,1.0052480906430383E-7,-3.7800513699422643E-7
-1,0.7142857142857142,-0.2,6.561021431576509E-8,-2.505185186137262E-8,-2.077036635624498E-8,2.477033256006435E-7,-1.555363708700599E-7,-1.1314715766739595E-8,-1.555363708700599E-7,-6.12811468092204E-8,9.412695803688265E-9,-1.1314715766739595E-8,9.412695803688265E-9,-1.872663925347265E-7
-0.7142857142857143,0.7142857142857142,-0.2,1.9745775955884914E-7,-1.6504176415098407E-7,1.8471625922991293E-8,6.659991003556999E-7,-1.1453814952068433E-6,5.128231520584974E-7,-1.1453814952068433E-6,1.511058678754476E-7,-3.98973647119413E-7,5.128231520584974E-7,-3.98973647119413E-7,-8.08870891103549E-7
-0.4285714285714286,0.7142857142857142,-0.2,-1.4602366282044514E-7,-6.006613006145647E-7,2.48064032794743E-7,-3.3470610455803155E-6,1.2888265827857498E-6,-1.3471960461443732E-6,1.2888265827857498E-6,4.040391413731982E-6,-4.99239927442804E-6,-1.3471960461443732E-6,-4.99239927442804E-6,-5.636616496981831E-7
-0.1428571428571429,0.7142857142857142,-0.2,-2.2521186536624347E-8,-4.7713757921836794E-8,-1.2527637168823646E-7,1.4833690057574408E-6,2.906130627572976E-7,1.1666459848288083E-7,2.906130627572976E-7,-2.605537244069762E-7,4.0890846760205394E-7,1.1666459848288083E-7,4.0890846760205394E-7,-1.2240997229122326E-6
0.1428571428571428,0.7142857142857142,-0.2,3.3970250925857767E-7,-2.663412992658538E-7,5.222306380863196E-8,1.0318408920216604E-6,-2.05048955614124E-6,1.4418937653272629E-6,-2.05048955614124E-6,3.50598172916052E-7,-9.35484894045697E-7,1.4418937653272629E-6,-9.35484894045697E-7,-1.376862247789771E-6
0.4285714285714284,0.7142857142857142,-0.2,-8.947034060423393E-8,-8.37270520741806E-7,5.40104074727665E-7,-3.7157243536678978E-6,5.334487576877124E-7,-5.308152029057613E-7,5.334487576877124E-7,3.472591685197013E-6,-7.318738152302717E-6,-5.308152029057613E-7,-7.318738152302717E-6,4.222632365283594E-7
